approach,system,num_datasets,mape_mean,mae_mean,rmse_mean
baseline_lr,batlik,11,0.11876737776083295,0.4276050886979966,0.5704906695364397
baseline_lr,dconvert,12,0.05092475677794773,0.13106824289777766,0.18703074857478275
baseline_lr,h2,8,0.08469982759892261,1211.8516048343533,1416.3930169068008
baseline_lr,jump3r,6,0.20876950098387168,0.8608784802808326,1.1431835854784154
baseline_lr,kanzi,9,6.707603791401045,40.483070019089396,59.15791428548125
baseline_lr,lrzip,13,2.327063319265236,15.19566693223322,22.20548555816997
baseline_lr,x264,9,0.6997960501225106,3.003355618226405,3.9000997600209737
baseline_lr,xz,13,0.8342489635367769,23.734473281161307,30.446184041209953
baseline_lr,z3,12,4.192954096085912,41.523240998819325,48.431429864094326
